date;Document Number;Name;Item;Sum of Quantity;Sum of Amount;Status;Location
26/03/2025;DOC1;Yotz;Server License;14;6398;Paid In Full;California Office
27/05/2025;DOC2;Pixoboo;Cloud Subscription;1;174;Paid In Full;New York Warehouse
7/05/2025;DOC3;Mydeo;Access Point;9;1467;Paid In Full;New York Warehouse
19/04/2025;DOC4;Kaymbo;Switch;15;3990;Open;New York Warehouse
24/03/2025;DOC5;Rhyloo;Cloud Subscription;17;2958;Voided;Texas DC
24/10/2025;DOC6;Fivechat;Access Point;5;815;Voided;California Office
29/08/2025;DOC7;Buzzbean;Access Point;10;1630;Paid In Full;California Office
20/06/2025;DOC8;Wikivu;Firewall;14;5824;Open;Remote
11/06/2025;DOC9;Skynoodle;Router;17;4913;Paid In Full;California Office
6/09/2025;DOC10;Zazio;Router;19;5491;Paid In Full;Texas DC
3/03/2025;DOC11;Yata;Cloud Subscription;11;1914;Voided;New York Warehouse
16/04/2025;DOC12;Demivee;Switch;14;3724;Open;Texas DC
29/11/2025;DOC13;Wikizz;Firewall;14;5824;Paid In Full;Remote
7/11/2025;DOC14;Eazzy;Router;9;2601;Paid In Full;New York Warehouse
29/11/2025;DOC15;Riffpedia;Server License;9;4113;Paid In Full;California Office
7/02/2025;DOC16;Brainlounge;Cloud Subscription;13;2262;Voided;Remote
26/09/2025;DOC17;Vitz;Switch;8;2128;Paid In Full;Remote
12/03/2025;DOC18;Edgepulse;Cloud Subscription;13;2262;Open;Remote
11/07/2025;DOC19;Twitterbridge;Cloud Subscription;2;348;Paid In Full;New York Warehouse
20/05/2025;DOC20;Realfire;Firewall;20;8320;Paid In Full;Remote
14/05/2025;DOC21;Devpoint;Firewall;5;2080;Open;Remote
1/09/2025;DOC22;Vitz;Access Point;12;1956;Voided;Texas DC
28/10/2025;DOC23;Skilith;Router;18;5202;Open;Remote
15/11/2025;DOC24;Quinu;Router;14;4046;Voided;Texas DC
12/06/2025;DOC25;Twinte;Router;3;867;Paid In Full;Remote
15/01/2025;DOC26;Zoomzone;Firewall;12;4992;Voided;California Office
10/10/2025;DOC27;Meemm;Access Point;6;978;Voided;New York Warehouse
3/11/2025;DOC28;Dabfeed;Router;14;4046;Paid In Full;Texas DC
19/03/2025;DOC29;Livetube;Cloud Subscription;12;2088;Paid In Full;California Office
3/11/2025;DOC30;Edgepulse;Access Point;5;815;Open;Remote
28/09/2025;DOC31;Voomm;Switch;14;3724;Paid In Full;California Office
18/07/2025;DOC32;Skyvu;Cloud Subscription;15;2610;Open;California Office
12/04/2025;DOC33;Browsecat;Cloud Subscription;15;2610;Open;Texas DC
25/02/2025;DOC34;Lajo;Firewall;5;2080;Voided;New York Warehouse
6/05/2025;DOC35;Yacero;Switch;13;3458;Paid In Full;New York Warehouse
19/11/2025;DOC36;Jabberstorm;Server License;1;457;Paid In Full;Remote
2/10/2025;DOC37;Feedfire;Cloud Subscription;18;3132;Paid In Full;Texas DC
29/05/2025;DOC38;Realpoint;Switch;11;2926;Paid In Full;New York Warehouse
9/10/2025;DOC39;Skynoodle;Switch;15;3990;Paid In Full;Texas DC
14/10/2025;DOC40;Skyndu;Switch;18;4788;Voided;Remote
15/01/2025;DOC41;Wordpedia;Cloud Subscription;7;1218;Open;New York Warehouse
17/09/2025;DOC42;Realcube;Server License;5;2285;Voided;California Office
10/09/2025;DOC43;Babbleopia;Firewall;9;3744;Voided;Remote
22/02/2025;DOC44;Jetpulse;Router;10;2890;Paid In Full;New York Warehouse
19/07/2025;DOC45;Ainyx;Switch;18;4788;Paid In Full;Remote
5/08/2025;DOC46;Tazz;Access Point;11;1793;Paid In Full;Remote
25/02/2025;DOC47;Camido;Switch;7;1862;Voided;California Office
9/03/2025;DOC48;Brainlounge;Server License;8;3656;Voided;New York Warehouse
25/09/2025;DOC49;Katz;Cloud Subscription;9;1566;Open;Texas DC
31/05/2025;DOC50;Topicshots;Firewall;4;1664;Open;New York Warehouse
1/06/2025;DOC51;Eimbee;Cloud Subscription;2;348;Open;California Office
13/10/2025;DOC52;Divavu;Router;10;2890;Open;Remote
16/07/2025;DOC53;Dabvine;Server License;20;9140;Voided;Remote
20/08/2025;DOC54;Devshare;Router;13;3757;Voided;Remote
29/07/2025;DOC55;Edgetag;Switch;9;2394;Open;New York Warehouse
16/07/2025;DOC56;Rooxo;Server License;9;4113;Paid In Full;California Office
23/02/2025;DOC57;Avamba;Server License;10;4570;Voided;California Office
24/06/2025;DOC58;Quire;Switch;5;1330;Paid In Full;California Office
20/10/2025;DOC59;Flashpoint;Router;17;4913;Voided;Remote
5/08/2025;DOC60;Babbleblab;Router;5;1445;Paid In Full;California Office
15/09/2025;DOC61;Blogtag;Cloud Subscription;12;2088;Voided;Texas DC
4/04/2025;DOC62;Oyoloo;Cloud Subscription;10;1740;Voided;Remote
12/10/2025;DOC63;Trilia;Access Point;6;978;Open;New York Warehouse
29/10/2025;DOC64;Agivu;Cloud Subscription;17;2958;Open;California Office
22/08/2025;DOC65;Jaloo;Firewall;9;3744;Paid In Full;California Office
13/06/2025;DOC66;Rhynyx;Firewall;12;4992;Open;Remote
24/04/2025;DOC67;Skiptube;Server License;9;4113;Open;Texas DC
2/06/2025;DOC68;Ntags;Switch;9;2394;Voided;Texas DC
26/03/2025;DOC69;Browsecat;Router;6;1734;Voided;Remote
15/06/2025;DOC70;Cogidoo;Cloud Subscription;19;3306;Voided;New York Warehouse
24/02/2025;DOC71;Katz;Router;4;1156;Open;Remote
26/05/2025;DOC72;Chatterbridge;Cloud Subscription;15;2610;Open;New York Warehouse
26/05/2025;DOC73;Youspan;Switch;19;5054;Open;New York Warehouse
30/07/2025;DOC74;Livetube;Access Point;7;1141;Voided;New York Warehouse
28/06/2025;DOC75;Fatz;Firewall;4;1664;Paid In Full;Texas DC
26/07/2025;DOC76;Oyoyo;Router;20;5780;Paid In Full;Texas DC
16/08/2025;DOC77;Skalith;Cloud Subscription;20;3480;Voided;Texas DC
30/06/2025;DOC78;Devbug;Firewall;18;7488;Paid In Full;New York Warehouse
16/04/2025;DOC79;Katz;Access Point;13;2119;Paid In Full;Texas DC
6/02/2025;DOC80;Realpoint;Cloud Subscription;3;522;Voided;New York Warehouse
2/04/2025;DOC81;Mydo;Firewall;13;5408;Voided;California Office
24/06/2025;DOC82;Oodoo;Cloud Subscription;1;174;Open;Texas DC
7/03/2025;DOC83;Zava;Router;13;3757;Open;New York Warehouse
3/09/2025;DOC84;Camimbo;Switch;14;3724;Voided;California Office
13/12/2025;DOC85;Buzzster;Access Point;14;2282;Open;California Office
7/08/2025;DOC86;Zoovu;Firewall;6;2496;Paid In Full;Texas DC
13/07/2025;DOC87;Photobean;Router;1;289;Voided;Remote
21/06/2025;DOC88;Cogilith;Access Point;3;489;Voided;New York Warehouse
27/03/2025;DOC89;Dablist;Switch;14;3724;Paid In Full;New York Warehouse
27/01/2025;DOC90;Rhynyx;Router;6;1734;Voided;California Office
12/02/2025;DOC91;Snaptags;Router;17;4913;Paid In Full;Remote
23/05/2025;DOC92;Browsebug;Switch;10;2660;Paid In Full;New York Warehouse
7/12/2025;DOC93;Ntags;Access Point;10;1630;Voided;New York Warehouse
21/04/2025;DOC94;Thoughtworks;Firewall;16;6656;Voided;California Office
15/02/2025;DOC95;Meezzy;Cloud Subscription;19;3306;Voided;California Office
25/06/2025;DOC96;Divavu;Switch;3;798;Open;Remote
24/11/2025;DOC97;Abatz;Router;14;4046;Voided;Texas DC
31/10/2025;DOC98;Tagpad;Switch;14;3724;Voided;Texas DC
9/06/2025;DOC99;Tagtune;Access Point;17;2771;Paid In Full;California Office
9/01/2025;DOC100;Yozio;Firewall;2;832;Paid In Full;New York Warehouse
16/11/2025;DOC101;Skinte;Access Point;17;2771;Open;Remote
3/01/2025;DOC102;Shuffletag;Server License;4;1828;Voided;New York Warehouse
6/12/2025;DOC103;Twinte;Router;2;578;Paid In Full;Remote
18/06/2025;DOC104;Dabjam;Cloud Subscription;19;3306;Voided;California Office
6/01/2025;DOC105;Leexo;Firewall;4;1664;Voided;California Office
3/03/2025;DOC106;Yambee;Router;17;4913;Paid In Full;Remote
25/04/2025;DOC107;Trilia;Server License;7;3199;Paid In Full;New York Warehouse
30/11/2025;DOC108;Realpoint;Router;9;2601;Open;Remote
7/10/2025;DOC109;Meevee;Access Point;8;1304;Open;Texas DC
7/08/2025;DOC110;Wordware;Cloud Subscription;9;1566;Paid In Full;New York Warehouse
8/09/2025;DOC111;Flashset;Access Point;18;2934;Paid In Full;California Office
21/03/2025;DOC112;Flashpoint;Access Point;11;1793;Open;Texas DC
24/08/2025;DOC113;Yabox;Access Point;5;815;Voided;Texas DC
23/05/2025;DOC114;Voonix;Access Point;8;1304;Open;California Office
7/08/2025;DOC115;Skaboo;Switch;4;1064;Open;Texas DC
22/04/2025;DOC116;Babbleblab;Access Point;11;1793;Paid In Full;New York Warehouse
18/05/2025;DOC117;Rooxo;Access Point;20;3260;Paid In Full;New York Warehouse
21/02/2025;DOC118;Abatz;Cloud Subscription;5;870;Paid In Full;Texas DC
7/03/2025;DOC119;Eadel;Server License;18;8226;Open;Texas DC
1/07/2025;DOC120;Gigaclub;Firewall;16;6656;Open;California Office
2/09/2025;DOC121;Demizz;Server License;19;8683;Paid In Full;Texas DC
29/10/2025;DOC122;Ntag;Access Point;13;2119;Voided;New York Warehouse
25/02/2025;DOC123;Vinte;Router;2;578;Open;New York Warehouse
11/01/2025;DOC124;Buzzbean;Switch;16;4256;Open;Texas DC
16/10/2025;DOC125;Ozu;Switch;12;3192;Voided;Remote
28/11/2025;DOC126;Skinte;Switch;2;532;Voided;New York Warehouse
12/07/2025;DOC127;Brainlounge;Firewall;11;4576;Voided;Remote
11/02/2025;DOC128;Yozio;Server License;11;5027;Voided;New York Warehouse
30/10/2025;DOC129;Shufflebeat;Router;9;2601;Open;Remote
9/03/2025;DOC130;Chatterbridge;Switch;19;5054;Voided;Texas DC
24/11/2025;DOC131;Dynazzy;Server License;5;2285;Open;New York Warehouse
29/10/2025;DOC132;Blognation;Switch;18;4788;Paid In Full;California Office
23/03/2025;DOC133;Zoonoodle;Firewall;12;4992;Voided;New York Warehouse
6/03/2025;DOC134;Photobug;Access Point;12;1956;Paid In Full;Remote
26/10/2025;DOC135;Npath;Firewall;18;7488;Voided;New York Warehouse
19/10/2025;DOC136;Talane;Switch;1;266;Open;Texas DC
19/01/2025;DOC137;Feedbug;Switch;16;4256;Voided;California Office
24/03/2025;DOC138;Dablist;Router;7;2023;Paid In Full;Remote
7/01/2025;DOC139;Jaloo;Router;8;2312;Open;New York Warehouse
11/10/2025;DOC140;Quatz;Cloud Subscription;18;3132;Paid In Full;California Office
13/08/2025;DOC141;Janyx;Server License;8;3656;Paid In Full;California Office
23/07/2025;DOC142;Blogspan;Cloud Subscription;13;2262;Voided;Texas DC
1/07/2025;DOC143;Jayo;Switch;18;4788;Paid In Full;New York Warehouse
26/03/2025;DOC144;Kamba;Router;6;1734;Voided;Texas DC
7/01/2025;DOC145;Pixope;Cloud Subscription;2;348;Paid In Full;Remote
30/04/2025;DOC146;Kazio;Cloud Subscription;8;1392;Open;Remote
6/08/2025;DOC147;Dabvine;Server License;3;1371;Paid In Full;California Office
17/06/2025;DOC148;Realbuzz;Access Point;20;3260;Voided;Texas DC
4/06/2025;DOC149;Lajo;Cloud Subscription;3;522;Voided;New York Warehouse
26/07/2025;DOC150;Quinu;Firewall;4;1664;Paid In Full;California Office
29/04/2025;DOC151;LiveZ;Switch;1;266;Open;Remote
12/05/2025;DOC152;Shufflebeat;Router;2;578;Paid In Full;New York Warehouse
26/08/2025;DOC153;Bubblemix;Access Point;5;815;Open;New York Warehouse
23/09/2025;DOC154;Skibox;Access Point;20;3260;Voided;New York Warehouse
5/05/2025;DOC155;Fliptune;Firewall;15;6240;Paid In Full;Texas DC
2/05/2025;DOC156;Layo;Firewall;3;1248;Open;Remote
3/09/2025;DOC157;Yodel;Switch;20;5320;Open;New York Warehouse
17/06/2025;DOC158;Mybuzz;Switch;1;266;Open;California Office
24/05/2025;DOC159;Flashset;Firewall;7;2912;Voided;Texas DC
20/04/2025;DOC160;Browsezoom;Access Point;7;1141;Open;Texas DC
14/07/2025;DOC161;Abatz;Cloud Subscription;20;3480;Voided;Texas DC
31/03/2025;DOC162;Eare;Switch;18;4788;Open;Texas DC
25/07/2025;DOC163;Trilia;Access Point;13;2119;Open;New York Warehouse
10/03/2025;DOC164;Tagtune;Router;20;5780;Voided;New York Warehouse
9/11/2025;DOC165;Babblestorm;Switch;11;2926;Paid In Full;Texas DC
12/12/2025;DOC166;Kwimbee;Server License;7;3199;Open;Texas DC
8/05/2025;DOC167;Rhyzio;Switch;20;5320;Voided;Texas DC
9/10/2025;DOC168;Eazzy;Access Point;6;978;Paid In Full;New York Warehouse
22/11/2025;DOC169;Brainverse;Firewall;15;6240;Open;Remote
31/01/2025;DOC170;Babbleset;Router;18;5202;Voided;California Office
4/09/2025;DOC171;Gigashots;Access Point;13;2119;Voided;New York Warehouse
12/05/2025;DOC172;Jayo;Firewall;5;2080;Open;Remote
30/09/2025;DOC173;Twitternation;Firewall;8;3328;Paid In Full;New York Warehouse
24/09/2025;DOC174;Photojam;Server License;8;3656;Voided;Remote
4/04/2025;DOC175;Zoombeat;Firewall;13;5408;Open;Remote
23/03/2025;DOC176;Devpoint;Server License;6;2742;Open;Texas DC
6/11/2025;DOC177;Twitterworks;Cloud Subscription;8;1392;Open;California Office
26/11/2025;DOC178;Gigazoom;Cloud Subscription;7;1218;Open;California Office
25/03/2025;DOC179;Fanoodle;Cloud Subscription;2;348;Open;Texas DC
8/01/2025;DOC180;Mynte;Switch;11;2926;Open;Texas DC
2/01/2025;DOC181;Einti;Cloud Subscription;8;1392;Voided;Remote
24/03/2025;DOC182;Brainlounge;Switch;9;2394;Voided;Remote
14/01/2025;DOC183;Trunyx;Access Point;5;815;Voided;Texas DC
12/04/2025;DOC184;Tagfeed;Firewall;5;2080;Paid In Full;Remote
21/03/2025;DOC185;Livetube;Access Point;11;1793;Paid In Full;New York Warehouse
24/11/2025;DOC186;Twitterbeat;Router;6;1734;Paid In Full;California Office
28/04/2025;DOC187;Dabtype;Server License;19;8683;Open;New York Warehouse
29/11/2025;DOC188;Brainverse;Cloud Subscription;7;1218;Paid In Full;California Office
23/05/2025;DOC189;Topiczoom;Access Point;4;652;Voided;New York Warehouse
25/10/2025;DOC190;Myworks;Access Point;8;1304;Paid In Full;Remote
29/08/2025;DOC191;Skinder;Access Point;11;1793;Voided;New York Warehouse
25/07/2025;DOC192;Skivee;Access Point;20;3260;Open;Remote
17/02/2025;DOC193;Shufflester;Router;14;4046;Voided;California Office
9/12/2025;DOC194;Flashdog;Server License;15;6855;Open;New York Warehouse
6/04/2025;DOC195;Buzzbean;Access Point;12;1956;Open;Remote
15/12/2025;DOC196;Voonder;Server License;2;914;Paid In Full;Remote
7/08/2025;DOC197;Flashset;Router;9;2601;Voided;Texas DC
22/05/2025;DOC198;Eire;Cloud Subscription;2;348;Paid In Full;New York Warehouse
27/07/2025;DOC199;Thoughtstorm;Firewall;7;2912;Paid In Full;Remote
19/05/2025;DOC200;Jetwire;Access Point;3;489;Paid In Full;New York Warehouse
16/04/2025;DOC201;Camido;Access Point;1;163;Paid In Full;Texas DC
15/11/2025;DOC202;Youspan;Cloud Subscription;6;1044;Open;California Office
12/10/2025;DOC203;Feedspan;Router;14;4046;Open;New York Warehouse
21/08/2025;DOC204;Photobug;Firewall;3;1248;Open;Texas DC
19/03/2025;DOC205;Talane;Router;11;3179;Paid In Full;Remote
24/07/2025;DOC206;Flashdog;Access Point;5;815;Open;California Office
17/07/2025;DOC207;Zazio;Cloud Subscription;19;3306;Paid In Full;New York Warehouse
6/12/2025;DOC208;Skinder;Switch;1;266;Paid In Full;Remote
18/02/2025;DOC209;Yodel;Access Point;17;2771;Paid In Full;Texas DC
11/11/2025;DOC210;Browseblab;Cloud Subscription;11;1914;Paid In Full;Texas DC
24/02/2025;DOC211;Meembee;Cloud Subscription;17;2958;Voided;New York Warehouse
23/02/2025;DOC212;Twimbo;Access Point;18;2934;Voided;Remote
15/05/2025;DOC213;Dabshots;Access Point;2;326;Paid In Full;Remote
16/08/2025;DOC214;Yakidoo;Access Point;3;489;Voided;Remote
5/06/2025;DOC215;Wordtune;Firewall;10;4160;Paid In Full;Remote
9/07/2025;DOC216;Rhycero;Server License;12;5484;Paid In Full;California Office
3/04/2025;DOC217;Camido;Switch;3;798;Open;Remote
17/06/2025;DOC218;Fadeo;Access Point;2;326;Open;New York Warehouse
30/08/2025;DOC219;Realfire;Firewall;11;4576;Paid In Full;California Office
21/03/2025;DOC220;Meembee;Server License;16;7312;Paid In Full;Texas DC
29/07/2025;DOC221;Twitterwire;Firewall;7;2912;Open;Remote
21/11/2025;DOC222;Eidel;Server License;2;914;Paid In Full;Texas DC
29/03/2025;DOC223;Bluezoom;Router;11;3179;Voided;Remote
10/06/2025;DOC224;Demivee;Cloud Subscription;10;1740;Paid In Full;California Office
19/08/2025;DOC225;Gigashots;Switch;7;1862;Paid In Full;Texas DC
22/08/2025;DOC226;Kazio;Switch;4;1064;Open;Remote
8/04/2025;DOC227;Realcube;Access Point;8;1304;Voided;Remote
12/09/2025;DOC228;Kare;Switch;12;3192;Paid In Full;Texas DC
29/11/2025;DOC229;Skinder;Router;15;4335;Paid In Full;Remote
1/12/2025;DOC230;Vimbo;Router;14;4046;Voided;Texas DC
18/07/2025;DOC231;Edgewire;Cloud Subscription;13;2262;Open;Texas DC
25/01/2025;DOC232;Lazz;Cloud Subscription;9;1566;Paid In Full;Texas DC
14/05/2025;DOC233;Riffpedia;Access Point;9;1467;Voided;New York Warehouse
13/03/2025;DOC234;Kanoodle;Cloud Subscription;5;870;Paid In Full;Texas DC
5/05/2025;DOC235;Gevee;Firewall;19;7904;Paid In Full;California Office
1/06/2025;DOC236;Voomm;Firewall;2;832;Voided;Texas DC
7/11/2025;DOC237;Brightbean;Cloud Subscription;20;3480;Paid In Full;California Office
16/04/2025;DOC238;Flashpoint;Access Point;14;2282;Voided;Remote
25/04/2025;DOC239;Livepath;Cloud Subscription;8;1392;Paid In Full;Remote
28/03/2025;DOC240;Flashdog;Cloud Subscription;10;1740;Voided;Texas DC
15/02/2025;DOC241;Jabbercube;Server License;9;4113;Paid In Full;New York Warehouse
17/10/2025;DOC242;Edgetag;Switch;17;4522;Voided;Remote
26/04/2025;DOC243;Shufflester;Switch;13;3458;Paid In Full;Texas DC
9/01/2025;DOC244;Quinu;Switch;18;4788;Paid In Full;Texas DC
19/05/2025;DOC245;Youtags;Switch;20;5320;Paid In Full;New York Warehouse
24/11/2025;DOC246;Yombu;Cloud Subscription;18;3132;Voided;Remote
12/04/2025;DOC247;Skyvu;Cloud Subscription;13;2262;Paid In Full;Remote
4/01/2025;DOC248;Lazzy;Server License;20;9140;Open;Remote
8/06/2025;DOC249;Flashpoint;Router;16;4624;Paid In Full;Texas DC
20/09/2025;DOC250;Skivee;Switch;16;4256;Open;Texas DC
11/06/2025;DOC251;Thoughtstorm;Server License;12;5484;Voided;California Office
26/09/2025;DOC252;Vipe;Router;12;3468;Paid In Full;Texas DC
6/03/2025;DOC253;Dablist;Server License;19;8683;Open;Remote
20/09/2025;DOC254;Flipbug;Cloud Subscription;7;1218;Paid In Full;California Office
3/11/2025;DOC255;Yakitri;Router;5;1445;Voided;California Office
3/02/2025;DOC256;Aivee;Cloud Subscription;9;1566;Open;Remote
23/07/2025;DOC257;Wikibox;Firewall;11;4576;Voided;Remote
18/07/2025;DOC258;Topiclounge;Firewall;1;416;Open;Remote
15/11/2025;DOC259;Livepath;Cloud Subscription;14;2436;Open;New York Warehouse
10/11/2025;DOC260;Shuffledrive;Firewall;1;416;Voided;New York Warehouse
6/06/2025;DOC261;Riffpath;Router;11;3179;Voided;Texas DC
21/02/2025;DOC262;Dabjam;Access Point;10;1630;Voided;California Office
31/01/2025;DOC263;Rhycero;Cloud Subscription;8;1392;Open;New York Warehouse
23/08/2025;DOC264;Yodel;Cloud Subscription;12;2088;Voided;Remote
26/10/2025;DOC265;Riffpedia;Switch;9;2394;Voided;California Office
23/09/2025;DOC266;Fiveclub;Switch;8;2128;Paid In Full;Remote
20/11/2025;DOC267;Flipopia;Server License;3;1371;Paid In Full;California Office
4/10/2025;DOC268;Twitterbridge;Cloud Subscription;12;2088;Paid In Full;California Office
31/10/2025;DOC269;Thoughtblab;Firewall;9;3744;Voided;New York Warehouse
19/10/2025;DOC270;Skynoodle;Switch;8;2128;Paid In Full;Remote
24/06/2025;DOC271;Fivechat;Access Point;20;3260;Voided;Remote
19/08/2025;DOC272;Miboo;Router;18;5202;Open;Texas DC
8/07/2025;DOC273;Twitternation;Firewall;13;5408;Voided;California Office
18/06/2025;DOC274;Meevee;Cloud Subscription;8;1392;Voided;Texas DC
3/01/2025;DOC275;Eire;Firewall;14;5824;Open;California Office
27/03/2025;DOC276;Wordtune;Server License;14;6398;Voided;California Office
29/11/2025;DOC277;Riffpath;Router;7;2023;Voided;Remote
2/11/2025;DOC278;Skimia;Access Point;7;1141;Paid In Full;New York Warehouse
26/01/2025;DOC279;Voonte;Router;8;2312;Voided;Texas DC
3/09/2025;DOC280;Tagpad;Firewall;15;6240;Open;Texas DC
17/10/2025;DOC281;Realmix;Access Point;2;326;Paid In Full;Texas DC
19/02/2025;DOC282;Abatz;Access Point;17;2771;Open;California Office
1/03/2025;DOC283;Devcast;Cloud Subscription;12;2088;Open;New York Warehouse
1/12/2025;DOC284;Quire;Access Point;17;2771;Paid In Full;New York Warehouse
2/02/2025;DOC285;Twinte;Cloud Subscription;5;870;Voided;New York Warehouse
18/11/2025;DOC286;Oyonder;Router;20;5780;Open;New York Warehouse
7/07/2025;DOC287;Skipstorm;Access Point;7;1141;Voided;Remote
12/07/2025;DOC288;Topicshots;Firewall;20;8320;Voided;New York Warehouse
20/07/2025;DOC289;Twimm;Firewall;7;2912;Open;California Office
6/03/2025;DOC290;Centimia;Cloud Subscription;9;1566;Open;New York Warehouse
12/11/2025;DOC291;Minyx;Switch;8;2128;Open;Remote
13/12/2025;DOC292;InnoZ;Firewall;1;416;Paid In Full;California Office
5/09/2025;DOC293;Oloo;Router;13;3757;Open;New York Warehouse
21/08/2025;DOC294;Zoomdog;Firewall;9;3744;Paid In Full;Texas DC
2/03/2025;DOC295;Jaxnation;Access Point;13;2119;Voided;California Office
26/08/2025;DOC296;Ailane;Firewall;6;2496;Voided;Remote
10/06/2025;DOC297;Twitterwire;Router;1;289;Paid In Full;California Office
12/05/2025;DOC298;Quatz;Cloud Subscription;11;1914;Paid In Full;California Office
8/04/2025;DOC299;Tazzy;Server License;14;6398;Paid In Full;Remote
10/08/2025;DOC300;Jetwire;Server License;7;3199;Paid In Full;Texas DC
25/09/2025;DOC301;Zoomdog;Server License;9;4113;Voided;California Office
8/09/2025;DOC302;Wordtune;Server License;19;8683;Open;Remote
9/06/2025;DOC303;Photobug;Router;18;5202;Open;Texas DC
21/10/2025;DOC304;Quimm;Server License;4;1828;Voided;Texas DC
11/05/2025;DOC305;Babbleblab;Firewall;6;2496;Voided;California Office
11/12/2025;DOC306;Browsetype;Router;9;2601;Paid In Full;California Office
14/10/2025;DOC307;Vimbo;Access Point;8;1304;Open;Remote
18/03/2025;DOC308;Dynazzy;Cloud Subscription;20;3480;Voided;Remote
13/11/2025;DOC309;Yambee;Cloud Subscription;7;1218;Open;Remote
30/01/2025;DOC310;Topiclounge;Firewall;2;832;Paid In Full;New York Warehouse
31/08/2025;DOC311;Kwideo;Router;2;578;Voided;New York Warehouse
28/08/2025;DOC312;Jabbersphere;Cloud Subscription;3;522;Voided;Texas DC
15/08/2025;DOC313;Thoughtbridge;Server License;19;8683;Paid In Full;California Office
21/06/2025;DOC314;Lazzy;Switch;1;266;Open;California Office
1/01/2025;DOC315;Omba;Firewall;2;832;Voided;New York Warehouse
26/09/2025;DOC316;Yacero;Switch;2;532;Voided;California Office
2/09/2025;DOC317;Centizu;Server License;16;7312;Voided;California Office
13/11/2025;DOC318;Zoomdog;Access Point;4;652;Paid In Full;California Office
10/06/2025;DOC319;Trilith;Firewall;10;4160;Paid In Full;Remote
14/05/2025;DOC320;Gabspot;Switch;5;1330;Voided;New York Warehouse
19/11/2025;DOC321;Dabfeed;Router;3;867;Open;California Office
13/08/2025;DOC322;Meeveo;Router;4;1156;Voided;Texas DC
3/07/2025;DOC323;Chatterpoint;Cloud Subscription;16;2784;Voided;New York Warehouse
17/01/2025;DOC324;Trilia;Firewall;3;1248;Voided;Remote
17/10/2025;DOC325;Gabtype;Server License;3;1371;Paid In Full;Remote
2/12/2025;DOC326;Dabfeed;Firewall;8;3328;Paid In Full;Texas DC
23/04/2025;DOC327;Zava;Switch;5;1330;Paid In Full;New York Warehouse
13/04/2025;DOC328;Cogilith;Firewall;4;1664;Paid In Full;California Office
22/11/2025;DOC329;Photobug;Server License;11;5027;Voided;Texas DC
5/12/2025;DOC330;Lazz;Access Point;16;2608;Voided;New York Warehouse
17/01/2025;DOC331;Skalith;Server License;13;5941;Open;Remote
21/03/2025;DOC332;Avaveo;Router;12;3468;Voided;New York Warehouse
8/12/2025;DOC333;Eazzy;Cloud Subscription;12;2088;Open;New York Warehouse
