date;Document Number;Name;Item;Sum of Quantity;Sum of Amount;Status;Location
17/10/2025;DOC668;Eire;Firewall;8;3328;Paid In Full;California Office
12/12/2025;DOC669;Oba;Router;3;867;Paid In Full;Remote
10/03/2025;DOC670;Izio;Cloud Subscription;17;2958;Open;New York Warehouse
17/02/2025;DOC671;Oozz;Cloud Subscription;6;1044;Paid In Full;Remote
7/09/2025;DOC672;Ntags;Access Point;11;1793;Voided;Remote
1/08/2025;DOC673;Bubblemix;Cloud Subscription;7;1218;Open;Texas DC
10/03/2025;DOC674;Meevee;Firewall;1;416;Paid In Full;New York Warehouse
14/01/2025;DOC675;Mudo;Cloud Subscription;15;2610;Paid In Full;California Office
2/06/2025;DOC676;Quire;Firewall;15;6240;Paid In Full;Texas DC
4/02/2025;DOC677;Mybuzz;Cloud Subscription;7;1218;Open;Texas DC
7/09/2025;DOC678;Kazio;Cloud Subscription;2;348;Voided;California Office
17/01/2025;DOC679;Podcat;Access Point;5;815;Open;New York Warehouse
22/09/2025;DOC680;Kazu;Server License;15;6855;Open;California Office
17/03/2025;DOC681;Bubbletube;Cloud Subscription;3;522;Paid In Full;Remote
8/02/2025;DOC682;Rhybox;Switch;19;5054;Voided;Texas DC
29/11/2025;DOC683;Skaboo;Router;20;5780;Voided;Texas DC
13/05/2025;DOC684;Blognation;Cloud Subscription;13;2262;Paid In Full;Texas DC
12/04/2025;DOC685;Eabox;Switch;8;2128;Open;California Office
14/10/2025;DOC686;Buzzdog;Access Point;4;652;Paid In Full;New York Warehouse
31/05/2025;DOC687;Abatz;Server License;6;2742;Paid In Full;California Office
3/06/2025;DOC688;Skaboo;Access Point;19;3097;Open;Remote
26/05/2025;DOC689;Roombo;Cloud Subscription;6;1044;Open;New York Warehouse
12/10/2025;DOC690;Devcast;Access Point;2;326;Paid In Full;Texas DC
9/01/2025;DOC691;Thoughtsphere;Router;17;4913;Paid In Full;California Office
9/01/2025;DOC692;Jaxbean;Firewall;3;1248;Paid In Full;Remote
23/05/2025;DOC693;Ainyx;Cloud Subscription;4;696;Paid In Full;New York Warehouse
6/03/2025;DOC694;Camimbo;Server License;1;457;Open;California Office
2/07/2025;DOC695;Topicshots;Access Point;15;2445;Open;Texas DC
10/03/2025;DOC696;Devshare;Firewall;12;4992;Open;New York Warehouse
21/10/2025;DOC697;Avamba;Server License;9;4113;Voided;Remote
2/03/2025;DOC698;Yombu;Cloud Subscription;3;522;Voided;California Office
16/03/2025;DOC699;Tagtune;Cloud Subscription;14;2436;Voided;California Office
1/12/2025;DOC700;Ntag;Server License;12;5484;Voided;California Office
29/10/2025;DOC701;Bubblemix;Cloud Subscription;19;3306;Voided;New York Warehouse
5/09/2025;DOC702;Youfeed;Cloud Subscription;11;1914;Open;Remote
7/10/2025;DOC703;Katz;Cloud Subscription;4;696;Voided;Texas DC
29/11/2025;DOC704;Yoveo;Server License;5;2285;Voided;California Office
24/09/2025;DOC705;Quire;Server License;5;2285;Voided;New York Warehouse
13/11/2025;DOC706;Feedfish;Access Point;2;326;Open;Remote
18/02/2025;DOC707;Jabberstorm;Cloud Subscription;18;3132;Voided;Texas DC
30/05/2025;DOC708;Demizz;Switch;6;1596;Paid In Full;New York Warehouse
29/09/2025;DOC709;Skiptube;Cloud Subscription;11;1914;Voided;Remote
5/07/2025;DOC710;Wikido;Server License;16;7312;Paid In Full;New York Warehouse
12/08/2025;DOC711;Topicstorm;Router;9;2601;Voided;Texas DC
26/06/2025;DOC712;Cogidoo;Server License;2;914;Voided;California Office
3/01/2025;DOC713;Digitube;Access Point;6;978;Paid In Full;Texas DC
27/10/2025;DOC714;Rhynoodle;Router;19;5491;Open;Texas DC
5/11/2025;DOC715;Wordware;Firewall;18;7488;Open;New York Warehouse
21/03/2025;DOC716;Vimbo;Router;14;4046;Paid In Full;New York Warehouse
13/12/2025;DOC717;Blogpad;Router;7;2023;Paid In Full;Texas DC
17/02/2025;DOC718;Aivee;Cloud Subscription;10;1740;Voided;Remote
23/06/2025;DOC719;Voomm;Switch;8;2128;Voided;California Office
25/03/2025;DOC720;Brainsphere;Access Point;6;978;Open;Remote
9/08/2025;DOC721;JumpXS;Access Point;16;2608;Open;California Office
17/08/2025;DOC722;Omba;Server License;14;6398;Open;Remote
7/10/2025;DOC723;Katz;Cloud Subscription;9;1566;Open;California Office
22/10/2025;DOC724;Dabshots;Server License;7;3199;Open;New York Warehouse
13/06/2025;DOC725;Feednation;Router;17;4913;Paid In Full;Remote
6/05/2025;DOC726;Eayo;Server License;4;1828;Voided;New York Warehouse
17/07/2025;DOC727;Babblestorm;Access Point;5;815;Voided;New York Warehouse
15/12/2025;DOC728;Oozz;Cloud Subscription;19;3306;Voided;New York Warehouse
3/06/2025;DOC729;Viva;Access Point;1;163;Voided;Texas DC
26/01/2025;DOC730;Twinder;Cloud Subscription;6;1044;Open;Texas DC
14/08/2025;DOC731;Tavu;Access Point;15;2445;Voided;New York Warehouse
10/10/2025;DOC732;Trilia;Access Point;16;2608;Paid In Full;Remote
30/08/2025;DOC733;Aimbu;Router;2;578;Paid In Full;New York Warehouse
31/01/2025;DOC734;Plajo;Server License;14;6398;Open;Texas DC
25/11/2025;DOC735;Topiclounge;Router;7;2023;Paid In Full;Remote
11/01/2025;DOC736;Flashspan;Cloud Subscription;12;2088;Paid In Full;Texas DC
5/06/2025;DOC737;Realbuzz;Switch;19;5054;Open;Remote
15/01/2025;DOC738;Yozio;Server License;19;8683;Voided;Texas DC
20/02/2025;DOC739;Skajo;Server License;5;2285;Paid In Full;California Office
18/04/2025;DOC740;Oyoba;Server License;17;7769;Open;California Office
5/04/2025;DOC741;Tekfly;Firewall;20;8320;Voided;New York Warehouse
7/09/2025;DOC742;Trilia;Cloud Subscription;2;348;Paid In Full;New York Warehouse
28/10/2025;DOC743;Bluejam;Firewall;14;5824;Open;Texas DC
14/11/2025;DOC744;Oyoba;Router;14;4046;Open;New York Warehouse
5/03/2025;DOC745;Vipe;Cloud Subscription;7;1218;Open;Texas DC
31/08/2025;DOC746;Zazio;Server License;9;4113;Open;Texas DC
5/12/2025;DOC747;BlogXS;Access Point;10;1630;Open;Remote
7/12/2025;DOC748;Centimia;Server License;16;7312;Voided;Texas DC
16/03/2025;DOC749;Babbleblab;Cloud Subscription;11;1914;Voided;New York Warehouse
30/08/2025;DOC750;BlogXS;Server License;16;7312;Paid In Full;Remote
17/07/2025;DOC751;Skivee;Firewall;19;7904;Paid In Full;California Office
23/09/2025;DOC752;Rhynyx;Access Point;2;326;Paid In Full;California Office
2/01/2025;DOC753;Mynte;Router;7;2023;Voided;California Office
11/12/2025;DOC754;Babbleopia;Switch;4;1064;Open;New York Warehouse
16/01/2025;DOC755;Meemm;Cloud Subscription;2;348;Voided;New York Warehouse
15/06/2025;DOC756;Riffwire;Router;3;867;Paid In Full;Remote
2/11/2025;DOC757;Rhyloo;Access Point;7;1141;Paid In Full;Texas DC
29/08/2025;DOC758;Ooba;Router;12;3468;Paid In Full;Remote
21/09/2025;DOC759;Babbleopia;Access Point;1;163;Open;New York Warehouse
22/05/2025;DOC760;Babbleopia;Access Point;3;489;Paid In Full;Remote
14/05/2025;DOC761;Ailane;Switch;2;532;Paid In Full;California Office
17/06/2025;DOC762;Pixonyx;Switch;19;5054;Voided;Texas DC
4/04/2025;DOC763;Innotype;Firewall;18;7488;Voided;California Office
5/03/2025;DOC764;Feedfire;Router;13;3757;Paid In Full;New York Warehouse
12/03/2025;DOC765;Pixoboo;Server License;8;3656;Voided;California Office
25/03/2025;DOC766;Bubblebox;Switch;7;1862;Voided;California Office
16/07/2025;DOC767;Aimbu;Server License;8;3656;Voided;New York Warehouse
22/05/2025;DOC768;Skalith;Access Point;16;2608;Paid In Full;Remote
7/06/2025;DOC769;Pixoboo;Cloud Subscription;4;696;Paid In Full;New York Warehouse
1/06/2025;DOC770;Yakidoo;Firewall;14;5824;Paid In Full;California Office
3/07/2025;DOC771;Npath;Router;13;3757;Voided;Remote
26/05/2025;DOC772;Quimba;Server License;19;8683;Paid In Full;New York Warehouse
12/05/2025;DOC773;Riffpath;Switch;3;798;Paid In Full;California Office
17/05/2025;DOC774;Yozio;Server License;7;3199;Paid In Full;California Office
5/01/2025;DOC775;Latz;Firewall;16;6656;Voided;New York Warehouse
2/05/2025;DOC776;Zoonoodle;Server License;9;4113;Voided;Texas DC
4/01/2025;DOC777;Agivu;Cloud Subscription;1;174;Voided;California Office
24/11/2025;DOC778;Twitterwire;Firewall;6;2496;Voided;California Office
1/05/2025;DOC779;Camido;Access Point;11;1793;Voided;New York Warehouse
24/01/2025;DOC780;Photobean;Cloud Subscription;6;1044;Open;Texas DC
9/07/2025;DOC781;Thoughtbridge;Switch;12;3192;Paid In Full;Texas DC
30/09/2025;DOC782;Lajo;Switch;18;4788;Open;California Office
4/04/2025;DOC783;Dynava;Switch;16;4256;Open;Texas DC
1/12/2025;DOC784;Divavu;Server License;3;1371;Open;New York Warehouse
9/01/2025;DOC785;Leexo;Switch;16;4256;Open;Texas DC
12/07/2025;DOC786;Browsedrive;Firewall;16;6656;Paid In Full;Texas DC
15/11/2025;DOC787;Yodo;Server License;6;2742;Voided;California Office
23/04/2025;DOC788;Yodoo;Router;19;5491;Open;New York Warehouse
7/09/2025;DOC789;Feedfish;Switch;10;2660;Open;New York Warehouse
18/07/2025;DOC790;Wordpedia;Server License;19;8683;Open;Remote
20/06/2025;DOC791;Yozio;Firewall;13;5408;Open;Texas DC
8/08/2025;DOC792;Zoozzy;Router;14;4046;Open;New York Warehouse
28/09/2025;DOC793;Teklist;Firewall;19;7904;Open;Remote
3/05/2025;DOC794;Meeveo;Firewall;13;5408;Voided;California Office
28/08/2025;DOC795;Miboo;Server License;1;457;Voided;New York Warehouse
26/05/2025;DOC796;Devcast;Server License;8;3656;Paid In Full;Texas DC
10/02/2025;DOC797;Flipbug;Access Point;3;489;Open;Texas DC
6/03/2025;DOC798;Yambee;Firewall;6;2496;Voided;Texas DC
5/12/2025;DOC799;Voolith;Access Point;5;815;Open;New York Warehouse
9/09/2025;DOC800;Roombo;Router;11;3179;Open;Texas DC
4/11/2025;DOC801;Thoughtstorm;Firewall;11;4576;Voided;Texas DC
28/05/2025;DOC802;Blogspan;Server License;15;6855;Voided;Remote
31/03/2025;DOC803;Tagchat;Router;8;2312;Voided;Remote
12/12/2025;DOC804;Demizz;Cloud Subscription;18;3132;Paid In Full;California Office
5/09/2025;DOC805;Photobean;Router;20;5780;Voided;California Office
21/04/2025;DOC806;Gigashots;Access Point;6;978;Voided;California Office
8/07/2025;DOC807;Devshare;Access Point;19;3097;Voided;Remote
27/10/2025;DOC808;Jabberbean;Cloud Subscription;15;2610;Voided;Texas DC
16/08/2025;DOC809;Demimbu;Router;15;4335;Open;Remote
26/04/2025;DOC810;Livepath;Switch;1;266;Paid In Full;New York Warehouse
15/04/2025;DOC811;Edgeify;Router;9;2601;Voided;New York Warehouse
25/02/2025;DOC812;Bubblemix;Firewall;12;4992;Open;Remote
24/11/2025;DOC813;Fanoodle;Cloud Subscription;16;2784;Voided;New York Warehouse
1/08/2025;DOC814;Flashpoint;Cloud Subscription;9;1566;Voided;New York Warehouse
9/08/2025;DOC815;InnoZ;Server License;6;2742;Paid In Full;New York Warehouse
19/04/2025;DOC816;Twinder;Router;6;1734;Paid In Full;California Office
10/08/2025;DOC817;Vinder;Switch;14;3724;Voided;New York Warehouse
24/02/2025;DOC818;Mycat;Server License;19;8683;Open;Remote
15/02/2025;DOC819;Bubblemix;Cloud Subscription;6;1044;Voided;Texas DC
17/03/2025;DOC820;Gigazoom;Router;7;2023;Voided;New York Warehouse
21/09/2025;DOC821;Tagcat;Server License;19;8683;Voided;Remote
27/06/2025;DOC822;Flipstorm;Firewall;5;2080;Voided;Texas DC
24/10/2025;DOC823;Tagchat;Router;17;4913;Paid In Full;California Office
12/02/2025;DOC824;Youopia;Access Point;1;163;Open;Remote
29/03/2025;DOC825;Skinte;Cloud Subscription;5;870;Voided;Texas DC
8/04/2025;DOC826;Gevee;Router;3;867;Voided;Remote
5/04/2025;DOC827;Buzzster;Router;6;1734;Open;New York Warehouse
29/08/2025;DOC828;Centidel;Router;17;4913;Paid In Full;California Office
26/06/2025;DOC829;Riffpath;Switch;3;798;Open;Texas DC
25/07/2025;DOC830;Yata;Firewall;7;2912;Open;California Office
14/11/2025;DOC831;Voolith;Access Point;5;815;Voided;California Office
5/03/2025;DOC832;Trilia;Access Point;12;1956;Voided;Remote
10/09/2025;DOC833;Photospace;Firewall;2;832;Paid In Full;Remote
16/10/2025;DOC834;Camimbo;Router;7;2023;Voided;California Office
2/01/2025;DOC835;Oyoyo;Router;5;1445;Voided;Remote
23/02/2025;DOC836;Feednation;Router;14;4046;Voided;Remote
21/08/2025;DOC837;Dynava;Firewall;18;7488;Paid In Full;New York Warehouse
27/08/2025;DOC838;Eire;Firewall;20;8320;Voided;Remote
6/01/2025;DOC839;Topdrive;Switch;18;4788;Voided;New York Warehouse
11/04/2025;DOC840;Dazzlesphere;Firewall;11;4576;Open;Remote
24/10/2025;DOC841;Izio;Firewall;18;7488;Voided;California Office
5/08/2025;DOC842;JumpXS;Access Point;20;3260;Open;Texas DC
23/10/2025;DOC843;Lazz;Router;10;2890;Paid In Full;Remote
7/07/2025;DOC844;Yakitri;Switch;11;2926;Open;Texas DC
5/04/2025;DOC845;Wordware;Access Point;9;1467;Open;Texas DC
7/10/2025;DOC846;Miboo;Server License;1;457;Paid In Full;Texas DC
22/10/2025;DOC847;Linklinks;Server License;10;4570;Voided;California Office
29/08/2025;DOC848;Pixonyx;Access Point;12;1956;Voided;California Office
13/03/2025;DOC849;Brainlounge;Access Point;10;1630;Paid In Full;California Office
15/08/2025;DOC850;Skippad;Router;17;4913;Open;California Office
8/12/2025;DOC851;Meemm;Switch;7;1862;Voided;New York Warehouse
29/11/2025;DOC852;Skinte;Router;18;5202;Paid In Full;New York Warehouse
12/11/2025;DOC853;Aimbo;Access Point;6;978;Open;New York Warehouse
14/05/2025;DOC854;Edgeify;Server License;17;7769;Paid In Full;Texas DC
20/08/2025;DOC855;Photojam;Firewall;6;2496;Paid In Full;California Office
21/01/2025;DOC856;Zoombeat;Firewall;1;416;Paid In Full;California Office
12/03/2025;DOC857;Jabbercube;Firewall;3;1248;Open;Remote
22/11/2025;DOC858;Yozio;Access Point;15;2445;Open;Remote
27/02/2025;DOC859;Skaboo;Cloud Subscription;2;348;Voided;New York Warehouse
1/01/2025;DOC860;Skibox;Firewall;13;5408;Paid In Full;Remote
12/04/2025;DOC861;Chatterbridge;Access Point;15;2445;Paid In Full;Texas DC
19/10/2025;DOC862;Vinder;Firewall;16;6656;Open;Texas DC
16/06/2025;DOC863;Photobean;Cloud Subscription;7;1218;Open;California Office
15/12/2025;DOC864;Skivee;Switch;1;266;Voided;Texas DC
31/03/2025;DOC865;Thoughtsphere;Server License;18;8226;Paid In Full;California Office
9/07/2025;DOC866;Skidoo;Router;3;867;Paid In Full;Remote
20/01/2025;DOC867;Yacero;Access Point;7;1141;Open;California Office
1/03/2025;DOC868;Devbug;Firewall;3;1248;Paid In Full;Remote
13/11/2025;DOC869;Viva;Cloud Subscription;5;870;Voided;New York Warehouse
26/02/2025;DOC870;Mybuzz;Firewall;12;4992;Open;Remote
24/09/2025;DOC871;Zoomzone;Cloud Subscription;16;2784;Open;California Office
14/09/2025;DOC872;Yotz;Router;9;2601;Open;California Office
22/01/2025;DOC873;Realcube;Access Point;2;326;Open;Texas DC
17/10/2025;DOC874;Vimbo;Router;14;4046;Paid In Full;Texas DC
28/06/2025;DOC875;Aimbo;Switch;2;532;Paid In Full;California Office
26/11/2025;DOC876;Blogtag;Server License;15;6855;Open;New York Warehouse
13/03/2025;DOC877;Lazz;Switch;17;4522;Voided;Remote
11/01/2025;DOC878;Jaxbean;Access Point;14;2282;Open;New York Warehouse
6/08/2025;DOC879;Zoomlounge;Router;13;3757;Open;California Office
15/12/2025;DOC880;Jaloo;Router;11;3179;Open;Remote
25/03/2025;DOC881;Blogpad;Switch;4;1064;Paid In Full;New York Warehouse
6/12/2025;DOC882;Mydo;Firewall;10;4160;Voided;New York Warehouse
12/11/2025;DOC883;Yabox;Firewall;5;2080;Open;California Office
26/10/2025;DOC884;Minyx;Router;2;578;Voided;California Office
9/02/2025;DOC885;Oozz;Server License;9;4113;Open;New York Warehouse
29/10/2025;DOC886;Wikido;Cloud Subscription;3;522;Paid In Full;Remote
13/07/2025;DOC887;Gabvine;Access Point;6;978;Voided;California Office
26/03/2025;DOC888;LiveZ;Cloud Subscription;8;1392;Open;Remote
16/03/2025;DOC889;Voomm;Switch;1;266;Paid In Full;California Office
26/06/2025;DOC890;Jatri;Firewall;16;6656;Open;Texas DC
24/04/2025;DOC891;Skaboo;Firewall;13;5408;Voided;New York Warehouse
7/03/2025;DOC892;Flashdog;Cloud Subscription;15;2610;Paid In Full;Texas DC
26/02/2025;DOC893;Yodel;Access Point;3;489;Open;California Office
14/07/2025;DOC894;Riffwire;Firewall;11;4576;Paid In Full;Remote
2/05/2025;DOC895;Photobug;Firewall;9;3744;Paid In Full;Texas DC
9/06/2025;DOC896;Eamia;Server License;19;8683;Open;New York Warehouse
24/10/2025;DOC897;Chatterbridge;Firewall;6;2496;Paid In Full;Texas DC
21/01/2025;DOC898;Katz;Cloud Subscription;7;1218;Open;New York Warehouse
18/01/2025;DOC899;Bubblebox;Firewall;5;2080;Paid In Full;California Office
21/11/2025;DOC900;Feednation;Switch;9;2394;Voided;California Office
26/11/2025;DOC901;Jazzy;Cloud Subscription;14;2436;Voided;Texas DC
23/06/2025;DOC902;Innotype;Switch;14;3724;Paid In Full;New York Warehouse
30/01/2025;DOC903;Mymm;Access Point;5;815;Voided;California Office
26/01/2025;DOC904;Eamia;Firewall;3;1248;Voided;California Office
27/09/2025;DOC905;Fiveclub;Firewall;11;4576;Paid In Full;California Office
15/01/2025;DOC906;Feedfire;Switch;18;4788;Paid In Full;New York Warehouse
29/08/2025;DOC907;Gevee;Firewall;1;416;Voided;California Office
2/07/2025;DOC908;Aimbu;Firewall;3;1248;Voided;New York Warehouse
12/08/2025;DOC909;Gabtune;Firewall;9;3744;Voided;New York Warehouse
10/02/2025;DOC910;Latz;Router;5;1445;Voided;New York Warehouse
24/05/2025;DOC911;Dynabox;Switch;12;3192;Paid In Full;Texas DC
20/01/2025;DOC912;Quaxo;Firewall;11;4576;Open;New York Warehouse
10/11/2025;DOC913;Topicblab;Switch;4;1064;Open;California Office
10/02/2025;DOC914;Pixonyx;Server License;12;5484;Voided;Texas DC
16/07/2025;DOC915;Blogtags;Firewall;10;4160;Paid In Full;Remote
22/05/2025;DOC916;Vipe;Access Point;2;326;Paid In Full;Remote
28/06/2025;DOC917;Flashset;Access Point;11;1793;Paid In Full;Texas DC
7/02/2025;DOC918;Trilia;Server License;16;7312;Paid In Full;New York Warehouse
14/08/2025;DOC919;Edgeblab;Server License;7;3199;Open;Texas DC
21/02/2025;DOC920;Photojam;Switch;19;5054;Paid In Full;Remote
6/04/2025;DOC921;Quire;Router;9;2601;Voided;California Office
15/05/2025;DOC922;Babblestorm;Server License;3;1371;Paid In Full;Remote
19/02/2025;DOC923;Oba;Server License;20;9140;Open;New York Warehouse
29/09/2025;DOC924;Trudeo;Switch;1;266;Open;Texas DC
1/10/2025;DOC925;Bubbletube;Switch;9;2394;Paid In Full;California Office
4/06/2025;DOC926;Gigabox;Access Point;3;489;Paid In Full;Texas DC
16/10/2025;DOC927;Jetwire;Access Point;6;978;Paid In Full;Remote
5/07/2025;DOC928;Yakijo;Firewall;1;416;Open;Texas DC
27/01/2025;DOC929;Dabvine;Access Point;14;2282;Open;Remote
15/08/2025;DOC930;Wordpedia;Switch;13;3458;Open;Remote
11/01/2025;DOC931;Yata;Firewall;13;5408;Open;California Office
2/12/2025;DOC932;Oodoo;Firewall;2;832;Paid In Full;New York Warehouse
8/11/2025;DOC933;Topicblab;Access Point;6;978;Paid In Full;New York Warehouse
3/07/2025;DOC934;Tagchat;Firewall;13;5408;Voided;California Office
23/07/2025;DOC935;Edgeblab;Firewall;3;1248;Paid In Full;New York Warehouse
9/07/2025;DOC936;Viva;Server License;9;4113;Voided;Remote
5/12/2025;DOC937;Devpulse;Router;9;2601;Open;California Office
8/06/2025;DOC938;Camimbo;Server License;17;7769;Paid In Full;New York Warehouse
13/02/2025;DOC939;Topdrive;Access Point;13;2119;Paid In Full;Texas DC
2/11/2025;DOC940;Skippad;Server License;5;2285;Paid In Full;Texas DC
19/02/2025;DOC941;Shufflester;Firewall;16;6656;Open;Remote
28/11/2025;DOC942;Photobean;Access Point;7;1141;Voided;Texas DC
24/03/2025;DOC943;Yombu;Server License;20;9140;Voided;New York Warehouse
2/06/2025;DOC944;BlogXS;Firewall;17;7072;Voided;Texas DC
28/07/2025;DOC945;Gigazoom;Firewall;4;1664;Voided;Texas DC
27/04/2025;DOC946;Rhynyx;Cloud Subscription;9;1566;Voided;Remote
16/02/2025;DOC947;Realcube;Router;17;4913;Open;California Office
12/01/2025;DOC948;Voonyx;Router;18;5202;Open;Remote
12/01/2025;DOC949;Gigaclub;Switch;2;532;Paid In Full;California Office
14/01/2025;DOC950;Kwimbee;Server License;18;8226;Paid In Full;New York Warehouse
30/10/2025;DOC951;Yozio;Cloud Subscription;10;1740;Paid In Full;California Office
25/09/2025;DOC952;Rhyloo;Switch;18;4788;Paid In Full;California Office
17/02/2025;DOC953;Jabbersphere;Server License;10;4570;Open;Texas DC
22/10/2025;DOC954;Jabbersphere;Server License;6;2742;Voided;Texas DC
19/01/2025;DOC955;Shufflester;Firewall;14;5824;Voided;New York Warehouse
14/01/2025;DOC956;Yotz;Switch;10;2660;Paid In Full;Texas DC
5/12/2025;DOC957;Realpoint;Cloud Subscription;5;870;Open;California Office
10/03/2025;DOC958;Centidel;Cloud Subscription;11;1914;Voided;New York Warehouse
18/03/2025;DOC959;Skilith;Cloud Subscription;12;2088;Voided;California Office
7/04/2025;DOC960;Edgeclub;Firewall;10;4160;Paid In Full;California Office
11/07/2025;DOC961;Blogtag;Cloud Subscription;15;2610;Open;New York Warehouse
12/09/2025;DOC962;Quaxo;Server License;13;5941;Paid In Full;New York Warehouse
13/10/2025;DOC963;Voonyx;Cloud Subscription;11;1914;Open;Remote
21/04/2025;DOC964;Jabbersphere;Firewall;2;832;Open;Texas DC
22/10/2025;DOC965;Talane;Firewall;14;5824;Paid In Full;Texas DC
8/03/2025;DOC966;Skinder;Router;13;3757;Voided;New York Warehouse
1/05/2025;DOC967;Buzzdog;Cloud Subscription;5;870;Paid In Full;Remote
4/08/2025;DOC968;Babbleopia;Router;16;4624;Open;Remote
14/02/2025;DOC969;Babbleopia;Switch;19;5054;Voided;Texas DC
9/06/2025;DOC970;Skibox;Switch;20;5320;Voided;New York Warehouse
24/02/2025;DOC971;Jaxworks;Switch;2;532;Voided;Remote
24/01/2025;DOC972;Mynte;Access Point;10;1630;Voided;Texas DC
18/01/2025;DOC973;Yodoo;Router;17;4913;Voided;California Office
6/01/2025;DOC974;Trupe;Router;14;4046;Open;New York Warehouse
13/07/2025;DOC975;Rhyloo;Firewall;10;4160;Paid In Full;Remote
21/04/2025;DOC976;Demimbu;Cloud Subscription;15;2610;Voided;California Office
8/04/2025;DOC977;Babbleblab;Cloud Subscription;4;696;Open;New York Warehouse
29/04/2025;DOC978;Jamia;Access Point;13;2119;Paid In Full;New York Warehouse
14/06/2025;DOC979;Vitz;Server License;5;2285;Open;New York Warehouse
20/08/2025;DOC980;Quatz;Access Point;1;163;Paid In Full;California Office
6/04/2025;DOC981;Oyoloo;Switch;1;266;Voided;California Office
17/07/2025;DOC982;Tagpad;Switch;14;3724;Voided;Texas DC
11/04/2025;DOC983;Wikizz;Firewall;17;7072;Paid In Full;Texas DC
10/02/2025;DOC984;Edgetag;Access Point;9;1467;Paid In Full;California Office
23/06/2025;DOC985;Vipe;Server License;18;8226;Voided;Texas DC
21/08/2025;DOC986;Edgewire;Switch;8;2128;Paid In Full;New York Warehouse
5/10/2025;DOC987;Tagcat;Access Point;1;163;Open;California Office
14/10/2025;DOC988;Mymm;Firewall;10;4160;Paid In Full;Texas DC
9/01/2025;DOC989;Aimbu;Firewall;11;4576;Paid In Full;New York Warehouse
28/10/2025;DOC990;Chatterbridge;Server License;10;4570;Open;Remote
8/05/2025;DOC991;Fatz;Server License;20;9140;Voided;California Office
20/07/2025;DOC992;Tagpad;Access Point;9;1467;Open;Texas DC
19/06/2025;DOC993;Browsetype;Server License;7;3199;Voided;Remote
26/11/2025;DOC994;Edgeblab;Cloud Subscription;11;1914;Paid In Full;Texas DC
1/01/2025;DOC995;Avavee;Switch;2;532;Paid In Full;California Office
8/04/2025;DOC996;Cogilith;Cloud Subscription;2;348;Voided;Remote
8/02/2025;DOC997;Yabox;Router;15;4335;Paid In Full;New York Warehouse
18/10/2025;DOC998;Janyx;Access Point;19;3097;Paid In Full;California Office
17/08/2025;DOC999;Podcat;Server License;3;1371;Open;New York Warehouse
6/03/2025;DOC1000;Jaxworks;Switch;12;3192;Paid In Full;Remote
